state,dem_election_date,dem_election_type,gop_election_date,gop_election_type,election_notes
AL,2020-03-03,primary,2020-03-03,primary,
AK,2020-04-04,primary,,,
AZ,2020-03-17,primary,2020-03-17,primary,
AR,2020-03-03,primary,2020-03-03,primary,
CA,2020-03-03,primary,2020-03-03,primary,
CO,2020-03-03,primary,2020-03-03,primary,
CT,2020-04-28,primary,2020-04-28,primary,
DE,2020-04-28,primary,2020-04-28,primary,
FL,2020-03-17,primary,2020-03-17,primary,
GA,2020-03-24,primary,2020-03-24,primary,
HI,2020-04-04,primary,,,
ID,2020-03-10,primary,2020-03-10,primary,
IL,2020-03-17,primary,2020-03-17,primary,
IN,2020-05-05,primary,2020-05-05,primary
IA,2020-02-03,caucus,2020-02-03,caucus,
KS,2020-05-02,primary,,,
KY,2020-05-19,primary,2020-05-19,primary,
LA,2020-04-04,primary,2020-04-04,primary,
ME,2020-03-03,primary,2020-03-03,primary,
MD,2020-04-28,primary,2020-04-28,primary,
MA,2020-03-03,primary,2020-03-03,primary,
MI,2020-03-10,primary,2020-03-10,primary,
MN,2020-03-03,primary,2020-03-03,primary,
MS,2020-03-10,primary,2020-03-10,primary,
MO,2020-03-10,primary,2020-03-10,primary,
MT,2020-06-02,primary,2020-06-02,primary,
NE,2020-05-12,primary,2020-05-12,primary,
NV,2020-02-22,caucus,,,
NH,2020-02-11,primary,,,
NJ,2020-06-02,primary,2020-06-02,primary,
NM,2020-06-02,primary,2020-06-02,primary,
NY,2020-04-28,primary,,,
NC,2020-03-03,primary,2020-03-03,primary,
ND,2020-03-10,firehouse-caucus,,,
OH,2020-03-17,primary,2020-03-17,primary,
OK,2020-03-03,primary,2020-03-03,primary,
OR,2020-05-19,primary,2020-05-19,primary,
PA,2020-04-28,primary,2020-04-28,primary,
RI,2020-04-28,primary,2020-04-28,primary,
SC,2020-02-29,primary,,,
SD,2020-06-02,primary,2020-06-02,primary
TN,2020-03-03,primary,2020-03-03,primary,
TX,2020-03-03,primary,2020-03-03,primary,
UT,2020-03-03,primary,2020-03-03,primary,
VT,2020-03-03,primary,2020-03-03,primary,
VA,2020-03-03,primary,2020-03-03,primary,
WA,2020-03-10,primary,2020-03-10,primary,
WV,2020-05-12,primary,2020-05-12,primary,
WI,2020-04-07,primary,2020-04-07,primary,
WY,2020-04-04,caucus,,,
DC,2020-06-02,primary,2020-06-02,primary,
