state,senate_class,special,incumbent,incumbent_party
AK,II,FALSE,"Murkowski, Lisa",gop
AL,II,FALSE,"Jones, Doug",dem
AR,II,FALSE,"Cotton, Tom",gop
AZ,III,TRUE,"McSally, Martha",gop
CO,II,FALSE,"Gardner, Cory",gop
DE,II,FALSE,"Coons, Chris",dem
GA,II,FALSE,"Perdue, David",gop
GA,III,TRUE,"Isakson, Johnny",gop
IA,II,FALSE,"Ernst, Joni",gop
ID,II,FALSE,"Risch, Jim",gop
IL,II,FALSE,"Durbin, Dick",gop
KS,II,FALSE,"Roberts, Pat",gop
KY,II,FALSE,"McConnell, Mitch",gop
LA,II,FALSE,"Cassidy, Bill",gop
MA,II,FALSE,"Markey, Ed",dem
ME,II,FALSE,"Collins, Susan",gop
MI,II,FALSE,"Peters, Gary",dem
MN,II,FALSE,"Smith, Tina",dem
MS,II,FALSE,"Hyde-Smith, Cindy",gop
MT,II,FALSE,"Daines, Steve",gop
NC,II,FALSE,"Tillis, Thom",gop
NE,II,FALSE,"Sasse, Ben",gop
NH,II,FALSE,"Shaheen, Jeanne",dem
NJ,II,FALSE,"Booker, Cory",dem
NM,II,FALSE,"Udall, Tom",dem
OK,II,FALSE,"Inhofe, Jim",gop
OR,II,FALSE,"Merkley, Jeff",dem
RI,II,FALSE,"Reed, Jack",dem
SC,II,FALSE,"Graham, Lindsey",gop
SD,II,FALSE,"Rounds, Mike",gop
TN,II,FALSE,"Alexander, Lamar",gop
TX,II,FALSE,"Cornyn, John",gop
VA,II,FALSE,"Warner, Mark",dem
WV,II,FALSE,"Moore Capito, Shelley",gop
WY,II,FALSE,"Enzi, Mike",gop
